id_product;name;link_rewrite;
"106";"Afia sunflower oil 1.8ltr";"afia-s-flower-oil-18ltr";
"107";"Afia sunflower oil 750ml";"afia-sunflower-oil-750ml";
"109";"Airwick air freshner rose 300ml";"air-wick-air-freshner-rose-300ml";
"110";"Airwick citrus air freshner 300ml";"air-wick-citrus-air-freshner-300ml";
"112";"Airwick oud air freshner spray 300ml";"air-wick-oud-air-freshner-300ml";
"113";"Airwick sandalwood air freshner 300ml";"air-wick-sandalwood-air-freshner-300ml";
"114";"Airwick candle soft cashmere&vanilla scent180g";"airwick-candle-soft-cashvanilla-180g";
"116";"Airwick air refreshner vanilla 300ml";"airwick-aerosol-vanilla-300ml";
"117";"Airwick freshmatic citrus refill 250ml";"airwick-freshmatic-citrus-refill-250ml";
"118";"Airwick freshmatic lavander camomile refil 250ml";"airwick-f-matic-lavnder-rfl-250ml";
"119";"Air wick freshmatic max sparkling citrus kit spl offer";"airwick-freshmatic-ct-kit-spl-offer";
"120";"Airwick freshmatic midnight rose kit";"airwick-freshmatic-midnight-rose";
"121";"Airwick freshmatic refill aqua marine 250ml";"airwick-refill-aqua-marine-250ml";
"122";"Airwick freshmatic refill rose 250ml";"airwick-refill-rose-250ml";
"124";"Al alali dumpling mix 453g";"al-alali-dumpling-mix-453g";
"125";"Al alali strawberry cake mix 524g";"al-alali-strawberry-cake-mix-524g";
"126";"Al marai lemon juice 1.75 l";"al-amarai-lemon-juice-175-ltr";
"128";"Al marai milk 500ml";"al-marai-ff-milk-1-2lr";
"132";"Al marai chocolate milk 150ml";"al-marai-chocolate-milk-150ml";
"171";"Al rabie juice apple 330ml";"al-rabie-juice-apple-330ml";
"174";"Al wazir extra virgin olive oil 500ml";"al-wazit-extra-virgin-olive-oil-500ml";
"175";"Al rabie berry mix 330ml";"al-rabie-berry-mix-330ml";
"178";"Al-rabie kiwi & lime 330ml";"al-rabie-kiwi-lime-330ml";
"179";"Al rabie mango & passion 330ml";"al-rabie-mango-passion-330ml";
"180";"Al rabie orange & peach 330ml";"al-rabie-orange-peach-330ml";
"181";"Al rabie orange 330ml";"al-rabie-orange-330ml";
"182";"Al rabie pineapple 330ml";"al-rabie-pineapple-330ml";
"183";"Al alali baking powder 200g";"alalali-baking-powder-200g";
"184";"Al alali cake mix white 524g";"alalali-cake-mix-choco-524g";
"185";"Al alali cake mix chocolate 524g";"alalali-cake-mix-chocolate-524g";
"187";"Al alali creme caramel";"alalali-cream-caramel";
"188";"Al alali cream delight instant diary whip 168g";"alalali-cream-delight-dubai-free-delivery-on-line-shopping-cream-delight-instant-whip-168g";
"189";"Al alali custard powder 450g";"alalali-custard-powder-450g";
"190";"Al alali fancy meat tuna in olive oil";"al-alali-fancy-meat-tuna-in-olive-oil";
"191";"Al alali instant yeast 4x11g";"alalali-instant-yeast-4x11g";
"192";"Al alali italian macaroni 450g";"alalali-italian-macaroni-450g";
"193";"Al alali italian vermicelli";"alalali-italian-vermicelli";
"194";"Al alali muhallabia mix";"alalali-muhallabia-mix";
"195";"Al alali pancake mix 454g";"alalali-pancake-mix";
"197";"Al alali vanilla powder 20g";"alalali-vanilla-powder-20g";
"198";"Al alali white meat tuna solid sunflower oil";"al-alali-white-meat-tuna-solid-sunflower-oil";
"199";"Al alali white meat tuna solid water";"alalali-white-tuna-in-water";
"200";"Alitea 5in1";"ali-tea-5in-one";
"201";"Alicafe 5in1";"alicafe-5in-one";
"210";"Almarai chocolate milk 250 ml";"almarai-chocolate-milk-250-ml";
"238";"Almarai strawberry milk 250 ml";"almarai-strawberry-milk-250-ml";
"241";"Almarai vanilla milk 250 ml";"almarai-vanilla-milk-250-ml";
"246";"Alokozay black tea";"alokozay-black-tea";
"247";"Alokozay black tea bags 100`s";"alokozay-black-tea-bags-100s";
"251";"Alokozay green tea 25pcs";"alokozay-green-tea";
"252";"Alokozay jasmine tea 25pcs";"alokozay-jasmine-tea";
"253";"Alokozay moroccan tea 25pcs";"alokozay-maroccan-tea";
"256";"Alokozay strawberry tea 25pcs";"alokozay-strawberry";
"257";"Alokozay sunflower oil 750ml";"alokozay-sunflower-oil";
"258";"Alokozay sunflower oil 1.8l";"alokozay-sunflower-oil-18l";
"261";"Alpen bar raspberry yoghurt 29g";"alpen-bar-raspberry-yoghurt-29g";
"262";"Alpen bar strawberry yoghurt 29g";"alpen-bar-strawberry-yoghurt-29g";
"263";"Alpen light bar chocolate and orange 29g";"alpen-light-chocolate-orange-19g";
"264";"Alpen  light bar summer fruits 29g";"alpen-light-summer-fruits-19g";
"277";"Ambi pur after tobacco air refreshner 300ml";"ambi-pur-af-after-tobacco-300ml";
"278";"Ambi pur bouquet air freshner 300ml";"ambi-pur-bouquet-air-freshner-300ml";
"279";"Ambi pur lavander air freshner 300ml";"ambi-pur-lavander-air-freshner-300ml";
"280";"Ambi pur ocean air freshner 300ml";"ambi-pur-ocean-air-freshner-300ml";
"281";"American classic barbicue 510 g";"american-classic-barbicue-510-g";
"283";"American classic mayonnaise 236ml";"american-classic-mayo";
"284";"American classic mayonnaise 473ml";"american-classic-mayo-473ml";
"285";"American classic mustard yellow 255g";"american-classic-mustard-yellow-255g";
"288";"American classic white vinegar 1l";"american-classic-vinegar-1l";
"300";"American classic plain bread crumbs 283g";"americana-classic-bread-crumbs-283g";
"301";"Americana crackers salted 80g";"americana-crackers-salted-80g";
"324";"Americana tea biscuits 90g";"americana-tea-biscuits-90g";
"332";"Anchor milk powder tin 900g";"anchor-milk-powder-tin-900g";
"333";"Anlene full cream milk powder 400g";"anlene-full-cream-milk-powder-400g";
"334";"Anlene full cream milk powder 900gr";"anlene-full-cream-milk-powder-900gr";
"335";"Anlene milk powder 400g";"anlene-lf-hc-milk-powder-400g";
"336";"Anlene low fat milk powder 900g";"anlene-low-fat-milk-powder-900g";
