id;Active (0/1);Name*;Categories (x,y,z,...);Price tax excl. Or Price tax excl;Tax rules id;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyy-mm-dd);Discount to (yyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Weight;Quantity;Short description;Description;Tags (x,y,z,...);Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in-stock;Text if back-order allowed;Image URLs (x,y,z,...);Feature;Only available online
;1;13 A TOP PLAG;;4.50;;;;;;;;;;;;1000002703878;;;;;;;;;;;;In stock;;;;
;1;1328 MULTIPLAG;;13.50;;;;;;;;;;;;4895054600087;;;;;;;;;;;;In stock;;;;
;1;15 A TOP PLAG;;6.25;;;;;;;;;;;;4895060903059;;;;;;;;;;;;In stock;;;;
;1;2 PIN 26 W BIAX D;;15.00;;;;;;;;;;;;043168353052;;;;;;;;;;;;In stock;;;;
;1;228 MULTIPLAG;;5.00;;;;;;;;;;;;1000002703908;;;;;;;;;;;;In stock;;;;
;1;7 DAYS CROISSANT COCOA CREAM FILLING;;2.00;;;;;;;;;;;;6281183000610;;;;;;;;;;;;In stock;;;;
;1;7 DAYS CROISSANT STRAWBERRY FILLING;;2.00;;;;;;;;;;;;6281183000634;;;;;;;;;;;;In stock;;;;
;1;928L MULTIPLAG;;13.50;;;;;;;;;;;;1000002703892;;;;;;;;;;;;In stock;;;;
;1;9633 MULTIPLAG;;12.00;;;;;;;;;;;;4895054600070;;;;;;;;;;;;In stock;;;;
