id;Active (0/1);Name*;Categories (x,y,z,...);Price tax excl. Or Price tax excl;Tax rules id;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyy-mm-dd);Discount to (yyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Weight;Quantity;Short description;Description;Tags (x,y,z,...);Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in-stock;Text if back-order allowed;Image URLs (x,y,z,...);Feature;Only available online
;1;AL MARAI APPLE JUICE 1.75LTR;Home;10.00;;;;;;;;;;;;6281007200509;;;;;;;;;;;;;;;;
;1;AL MARAI CHOCOLATE MILK 150ML;Home;1.50;;;;;;;;;;;;6281007020282;;;;;;;;;;;;;;;;
;1;AL MARAI CREAM CHEESE 6 PCS;Home;4.00;;;;;;;;;;;;6281007023955;;;;;;;;;;;;;;;;
;1;AL MARAI FF MILK 1LR;Home;6.75;;;;;;;;;;;;6281007040235;;;;;;;;;;;;;;;;
;1;AL MARAI FLAVOURED MILK CHOCO;Home;1.75;;;;;;;;;;;;6281007023719;;;;;;;;;;;;;;;;
;1;AL MARAI FLAVOURED MILK MANGO;Home;1.50;;;;;;;;;;;;6281007022934;;;;;;;;;;;;;;;;
;1;AL MARAI FLAVOURED MILK STRBRY;Home;1.75;;;;;;;;;;;;6281007023696;;;;;;;;;;;;;;;;
;1;AL MARAI FRESH CREAM 100G;Home;4.00;;;;;;;;;;;;62810487;;;;;;;;;;;;;;;;
;1;AL MARAI FRESH LABAN180ML;Home;1.75;;;;;;;;;;;;6281007023139;;;;;;;;;;;;;;;;
;1;AL MARAI FRUIT YOGHURT STRAWBERRY 140G;Home;1.75;;;;;;;;;;;;6281007022101;;;;;;;;;;;;;;;;
;1;AL MARAI HALLOME CHEESE;Home;12.75;;;;;;;;;;;;6281007174060;;;;;;;;;;;;;;;;
;1;AL MARAI JUICE KIWI&LIME 310ML;Home;2.25;;;;;;;;;;;;6281007022415;;;;;;;;;;;;;;;;
;1;AL MARAI JUICE STRAWBERRY 1.75L;Home;11.25;;;;;;;;;;;;6281007201131;;;;;;;;;;;;;;;;
;1;AL MARAI KIWI&LIME JUICE 1.75L;Home;10.00;;;;;;;;;;;;6281007022408;;;;;;;;;;;;;;;;
;1;AL MARAI LABAN LOW FAT 360ML;Home;2.75;;;;;;;;;;;;6281007023511;;;;;;;;;;;;;;;;
;1;AL MARAI LABNEH 200G;Home;4.50;;;;;;;;;;;;6281007021241;;;;;;;;;;;;;;;;
;1;AL MARAI LFMILK 2L;Home;11.00;;;;;;;;;;;;6281007120500;;;;;;;;;;;;;;;;
;1;AL MARAI LONG LIFE LF MILK 1LTR;Home;4.25;;;;;;;;;;;;6281007245920;;;;;;;;;;;;;;;;
;1;AL MARAI LONG LIFE LF MILK 1LTR;Home;4.50;;;;;;;;;;;;6281007021616;;;;;;;;;;;;;;;;
;1;AL MARAI MANGO JUICE 1.75LTR;Home;9.75;;;;;;;;;;;;6281007200738;;;;;;;;;;;;;;;;
;1;AL MARAI MANGO JUICE 300ML;Home;2.25;;;;;;;;;;;;6281007201759;;;;;;;;;;;;;;;;
;1;AL MARAI MANGO MIXED FRUIT JUICE 1.75LTR;Home;11.00;;;;;;;;;;;;6281007200929;;;;;;;;;;;;;;;;
;1;AL MARAI MANGO MIXED FRUIT JUICE 200ML;Home;1.50;;;;;;;;;;;;62811217;;;;;;;;;;;;;;;;
;1;AL MARAI MILK LOW FAT 500ML;Home;3.50;;;;;;;;;;;;6281007040365;;;;;;;;;;;;;;;;
;1;AL MARAI MIXED BERRY 1.75 LTR;Home;10.00;;;;;;;;;;;;6281007201261;;;;;;;;;;;;;;;;
;1;AL MARAI MIXED BERRY 200ML;Home;1.50;;;;;;;;;;;;6281007728379;;;;;;;;;;;;;;;;
;1;AL MARAI MIXED FRUIT 200ML;Home;1.50;;;;;;;;;;;;62811293;;;;;;;;;;;;;;;;
;1;AL MARAI MIXED FRUIT JUICE 2 LTR;Home;10.00;;;;;;;;;;;;6281007201384;;;;;;;;;;;;;;;;
;1;AL MARAI MIXED FRUIT JUICE 300ML;Home;2.25;;;;;;;;;;;;6281007020459;;;;;;;;;;;;;;;;
;1;AL MARAI ORANGE CARROT JUICE 300ML;Home;2.25;;;;;;;;;;;;6281007806831;;;;;;;;;;;;;;;;
;1;AL MARAI ORANGE JUICE 1.75L;Home;9.75;;;;;;;;;;;;6281007200158;;;;;;;;;;;;;;;;
;1;AL MARAI ORANGE JUICE 200ML;Home;1.50;;;;;;;;;;;;62811262;;;;;;;;;;;;;;;;
;1;AL MARAI ORANGE JUICE 300ML;Home;2.25;;;;;;;;;;;;6281007201513;;;;;;;;;;;;;;;;
;1;AL MARAI ORANGE JUICE WITH PULP 1.75LTR;Home;11.00;;;;;;;;;;;;6281007200288;;;;;;;;;;;;;;;;
;1;AL MARAI PREMIUM ORANGE JUICE;Home;11.75;;;;;;;;;;;;6281007028370;;;;;;;;;;;;;;;;
;1;AL MARAI STRAWB MILK 150ML;Home;1.50;;;;;;;;;;;;6281007020299;;;;;;;;;;;;;;;;
;1;AL MARAI STRAWBERRY JUICE 300ML;Home;2.25;;;;;;;;;;;;6281007201643;;;;;;;;;;;;;;;;
;1;AL MARAI VANILLA MILK 150ML;Home;1.50;;;;;;;;;;;;6281007020312;;;;;;;;;;;;;;;;
;1;AL MARAI YOGHURT 1KG;Home;7.50;;;;;;;;;;;;6281007063067;;;;;;;;;;;;;;;;
;1;AL MARAI YOGHURT 400G;Home;3.25;;;;;;;;;;;;6281007139649;;;;;;;;;;;;;;;;
;1;AL RABIE JUICE APPLE 330ML;Home;2.50;;;;;;;;;;;;6281026170067;;;;;;;;;;;;;;;;
;1;AL RABIE JUICE GRAPE 1L;Home;6.00;;;;;;;;;;;;6281026305605;;;;;;;;;;;;;;;;
;1;AL RABIH TAHINI SESAME PASTE 350G;Home;12.50;;;;;;;;;;;;5281003551040;;;;;;;;;;;;;;;;
;1;AL WAZIT EXTRA VIRGIN OLIVE OIL 500ML;Home;19.50;;;;;;;;;;;;8428483100086;;;;;;;;;;;;;;;;
;1;AL-RABIE BERRY MIX 330ML;Home;2.50;;;;;;;;;;;;6281026175727;;;;;;;;;;;;;;;;
;1;AL-RABIE FRUIT COCTAIL 1000ML;Home;7.50;;;;;;;;;;;;6281026306206;;;;;;;;;;;;;;;;
;1;AL-RABIE FRUIT COCTAIL 330ML;Home;2.50;;;;;;;;;;;;6281026170241;;;;;;;;;;;;;;;;
;1;AL-RABIE KIWI & LIME 330ML;Home;2.50;;;;;;;;;;;;6281026175666;;;;;;;;;;;;;;;;
;1;AL-RABIE MANGO&PASSION 330ML;Home;2.50;;;;;;;;;;;;6281026176205;;;;;;;;;;;;;;;;
;1;AL-RABIE ORANGE & PEACH 330ML;Home;2.50;;;;;;;;;;;;6281026170302;;;;;;;;;;;;;;;;
;1;AL-RABIE ORANGE 330ML;Home;2.50;;;;;;;;;;;;6281026170005;;;;;;;;;;;;;;;;
;1;AL-RABIE PINEAPPLE 330ML;Home;2.50;;;;;;;;;;;;6281026170128;;;;;;;;;;;;;;;;
;1;ALALALI BAKING POWDER 200G;Home;5.75;;;;;;;;;;;;617950200642;;;;;;;;;;;;;;;;
;1;ALALALI CAKE MIX-CHOCO 524G;Home;9.25;;;;;;;;;;;;617950200055;;;;;;;;;;;;;;;;
;1;ALALALI CAKE MIX-WHITE 524G;Home;9.25;;;;;;;;;;;;617950200017;;;;;;;;;;;;;;;;
;1;ALALALI CHERRY JAM 400G;Home;7.25;;;;;;;;;;;;617950410065;;;;;;;;;;;;;;;;
;1;ALALALI CREAM CARAMEL;Home;2.25;;;;;;;;;;;;617950207276;;;;;;;;;;;;;;;;
;1;ALALALI CREAM DELIGHT;Home;10.00;;;;;;;;;;;;617950204367;;;;;;;;;;;;;;;;
;1;ALALALI CUSTARD POWDER 450G;Home;7.00;;;;;;;;;;;;617950200529;;;;;;;;;;;;;;;;
;1;ALALALI FANCY MEAT TUNA IN OLIVE OIL;Home;10.00;;;;;;;;;;;;617950143192;;;;;;;;;;;;;;;;
;1;ALALALI INSTANT YEAST 4X11G;Home;3.50;;;;;;;;;;;;617950171720;;;;;;;;;;;;;;;;
;1;ALALALI ITALIAN MACARONI 450G;Home;5.50;;;;;;;;;;;;617950300991;;;;;;;;;;;;;;;;
;1;ALALALI ITALIAN VERMICELLI;Home;4.25;;;;;;;;;;;;617950302155;;;;;;;;;;;;;;;;
;1;ALALALI MUHALLABIA MIX;Home;2.50;;;;;;;;;;;;617950200185;;;;;;;;;;;;;;;;
;1;ALALALI PANCAKE MIX;Home;6.75;;;;;;;;;;;;617950200901;;;;;;;;;;;;;;;;
;1;ALALALI RASPBERRY JAM 400G;Home;7.25;;;;;;;;;;;;617950410041;;;;;;;;;;;;;;;;
;1;ALALALI VANILLA POWDER 20G;Home;3.50;;;;;;;;;;;;617950156000;;;;;;;;;;;;;;;;
;1;ALALALI WHITE TUNA IN S/F OIL;Home;9.25;;;;;;;;;;;;617950142959;;;;;;;;;;;;;;;;
;1;ALALALI WHITE TUNA IN WATER;Home;9.25;;;;;;;;;;;;617950142195;;;;;;;;;;;;;;;;
;1;ALI TEA 5IN ONE;Home;1.00;;;;;;;;;;;;9555021501667;;;;;;;;;;;;;;;;
;1;ALICAFE 5IN ONE;Home;1.00;;;;;;;;;;;;9555021501483;;;;;;;;;;;;;;;;
