id;Active (0/1);Name*;Parent Category;Root category (0/1);Description;Meta-title;Meta-keywords;Meta-description;URL rewritten;Image URL;ID ou nom de la boutique
;1;Water; All Other Products, Drinks;0;;;;;;;
;1;Juices; All Other Products, Drinks;0;;;;;;;
;1;Refrigerated Juices; All Other Products, Drinks;0;;;;;;;
;1;Sports, Energy & Probiotics; All Other Products, Drinks;0;;;;;;;
;1;Tea, Coffee & Hot Drinks; All Other Products, Drinks;0;;;;;;;
